strain,stress
0.28138,83.138
0.28159,83.466
0.28177,84.248
0.282,83.997
0.28222,83.284
0.28239,82.754
0.28262,83.1
0.28282,82.827
0.28298,83.014
0.28323,83.225
0.28342,82.817
0.28359,82.652
0.28381,82.498
0.28399,81.797
0.28416,82.02
0.28437,82.318
0.28461,82.466
0.28478,81.877
0.28499,82.289
0.28519,82.982
0.28541,82.427
0.28562,82.264
0.28582,82.073
0.286,82.686
0.28625,82.728
0.28643,82.638
0.28663,82.066
0.28683,81.864
0.28702,82.155
0.28721,82.499
0.28744,82.486
0.28762,82.177
0.28782,82.14
0.28803,82.178
0.28821,81.96
0.2884,81.788
0.28862,82.019
0.2888,81.467
0.28899,81.908
0.28922,82.112
0.28942,82.003
0.28962,81.408
0.28981,81.549
0.29001,81.865
0.29023,81.566
0.29045,81.661
0.29061,81.69
0.29084,81.943
0.29104,81.409
0.29122,81.632
0.29144,81.84
0.29165,81.668
0.29183,81.525
0.29205,81.723
0.29225,81.631
0.29243,81.543
0.29265,81.158
0.29285,81.198
0.29302,80.844
0.29326,81.187
0.29343,81.008
0.29362,81.18
0.29383,81.079
0.29403,80.908
0.2942,80.963
0.29442,81.034
0.29462,81.152
0.2948,81.145
0.29501,80.947
0.2952,80.789
0.29539,80.441
0.29563,80.801
0.29582,80.614
0.29599,80.521
0.29622,81.027
0.29641,80.331
0.29661,80.655
0.29682,80.44
0.29701,80.472
0.2972,80.726
0.29743,81.008
0.29761,80.731
0.29781,80.393
0.29803,80.404
0.29822,80.465
0.29842,80.347
0.29864,80.833
0.29882,80.361
0.29904,80.657
0.29922,80.697
0.29942,80.977
0.29963,80.603
0.29984,80.584
0.30002,80.615
0.30025,80.379
0.30043,80.462
0.30061,80.359
0.30084,80.388
0.30103,80.193
0.30123,80.303
0.30144,79.973
0.30162,79.849
0.30183,80.208
0.30204,79.834
0.30225,79.868
0.30244,79.791
0.30263,79.563
0.30284,79.509
0.30301,79.682
0.30323,79.639
0.30342,79.651
0.3036,79.209
0.30382,79.657
0.304,79.802
0.30422,80.111
0.30443,79.849
0.30462,79.623
0.30481,80.003
0.30504,79.698
0.30522,79.368
0.3054,79.118
0.30561,79.214
0.30581,79.222
0.306,79.038
0.30621,79.1
0.30639,79.412
0.30659,79.548
0.30683,79.67
0.30701,79.075
0.30721,79.019
0.3074,78.821
0.30759,79.681
0.30785,79.372
0.30804,78.671
0.30821,78.721
0.30841,79.226
0.30865,79.552
0.30883,79.414
0.30907,78.398
0.30923,77.668
0.30942,78.118
0.30963,78.854
0.30983,79.18
0.31003,79.935
0.31026,79.456
0.31045,78.321
0.31063,78.412
0.31081,78.665
0.31105,79.205
0.31124,78.193
0.31142,78.719
0.31161,78.688
0.31179,78.502
0.31204,78.313
0.3122,78.035
0.31239,78.628
0.3126,79.18
0.31282,78.787
0.313,78.171
0.3132,77.598
0.3134,78.148
0.31358,78.345
